i,j,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
3,6,0.10295556707631538,0.39399370878107093,0.5191853326651774,0.6820530046124115,0.04522827053158243,0.044903153285211536,0.07612739695274037,0.1726364363571413,0.2228336488556785,0.046114179401277926,0.04067610876816816,0.05832845554006396,0.44190834344154073,0.6363890673764514,0.3798869995193046
3,7,63.92340565671834,16.22149572167495,8.522598788064311,25.62574753434224,0.0,3.0517071007078062E-140,1.0,3.2336608025201994E-107,6.584129502457848E-124,7.688231880479396E-272,1.4708751013989097E-286,0.0,382.0,15.065014191887101,38.247331966434665
3,8,72.99430735568076,25.751019388280277,6.575442254450273,38.65866085776745,2.605347486047914E-201,1.5045942975820295E-61,2.04041156446417E-100,1.2346217408387376E-41,1.8593012669576007E-51,3.774038043353502E-152,8.248479257144113E-163,8.132407259522517E-201,287.0,14.244894352940944,41.00878163183572
3,9,7.90267275481008,8.943677064196242,8.425431167709682,18.284985454196242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,551.0,17.19360659859817,42.18307979623042
4,0,99.30354619917009,9.405414619568715,6.234514150313595,26.597957130300703,1.0,5.2089760727803965E-210,1.2149882101943307E-279,9.637597812189457E-170,3.183512859788478E-190,0.0,0.0,0.0,432.0,12.788473462988279,23.865954940306757
4,1,64.46150176751294,2.9804636288228,8.382096227154843,58.274136479824705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,16.35661879669465,40.189583456689604
4,2,51.98154169828696,25.58669912887928,4.271880934787445,87.28542643472919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,532.0,16.77493133139028,5.094245515451085
4,3,90.90578441672669,4.963778137145836,5.509575085928068,91.50454653179145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,627.0,17.235716675048593,30.09248144967492
4,4,84.82316685719677,23.598022362501116,6.515508614829956,65.68454709742866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,12.818284748559732,48.621185492574206
4,5,8.004768716016674,20.911888042629936,6.278565822442149,66.6557088632281,1.0,4.3780706745111866E-299,0.0,6.258284387916273E-247,1.2471869150603696E-273,0.0,0.0,0.0,505.0,18.32490175366463,30.680384379448345
4,6,41.219162552418744,21.476564810385103,5.731891056165613,68.1510667944429,2.5208531300029286E-132,2.5808327025134189E-26,1.2232500387143771E-53,4.304965588771946E-14,6.985023964085601E-20,4.615798939808419E-93,2.1738428092716063E-101,0.9999999999999569,230.99999999999008,19.798161114606298,18.695146850186667
4,7,10.893319199099594,26.616769007910715,5.0269532222235,34.00435186302986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,548.0,12.61865909550467,9.506231197383341
4,8,51.36147301387637,17.348516796536988,3.5875334298439197,41.986818468819976,1.0223512612360028E-87,1.8643976459873487E-12,2.617085392614116E-29,3.1248258434449953E-7,2.360313132974057E-9,9.464973732370202E-58,0.9999996851552381,3.35066271668838E-90,188.99994062129434,19.839667843603426,8.790807532450183
4,9,72.82047385128239,11.614343446456505,6.575276797218109,33.85605638403718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,17.14159179136866,5.893493507337521
5,0,13.77645318171935,7.997539611944512,6.993739036736433,66.70041226226515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,18.527777249821217,8.572420630117731
5,1,77.37468082565341,16.260894349085596,7.776647051183106,69.2469698046165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,18.792004158634146,32.647573988813775
5,2,21.19600619912546,26.66498747933458,6.781211500620907,23.74229538490877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,710.0,15.297865547909394,31.192276231095807
5,3,4.455762528591157,24.07012776016807,7.341815195895457,88.77651047584582,2.061549007533251E-274,3.070373901469131E-98,3.6815077414382E-150,1.1916562250150084E-69,1.0,9.138410152985168E-216,4.928255996038338E-229,1.0425394752965439E-273,338.0,13.864876581051366,48.562952561660275
5,4,31.57373240511381,9.005520321716407,7.142586309310042,35.94552931797826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,581.0,17.130459337030096,10.485768094245088
5,5,10.287864600477747,18.708287340965608,5.956308306824708,80.19943515015572,0.0,5.061449858844057E-204,1.0,2.0833735795758272E-161,4.0672370021556846E-183,0.0,0.0,0.0,438.0,13.404430182419155,34.14597401335125
5,6,38.58651265383335,24.212243920584235,5.4292411642350284,13.297977559907217,0.0,1.6152310491930748E-258,0.0,1.0,1.26677183504591E-235,0.0,0.0,0.0,478.0,20.826620627360395,36.66934474069101
5,7,28.36775060729868,21.08600192353963,4.996362280333621,2.9837252843487967,0.0,1.0,4.72896484E-316,1.6795498375056531E-195,3.3187337292694743E-218,0.0,0.0,0.0,465.0,17.90888344655783,44.363065024135324
5,8,67.02020950788385,8.388542805993715,5.943604681914048,10.07485108977349,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,555.0,17.7497895609615,15.486212749067084
5,9,46.04771269689353,3.8756108284379427,6.3569104589607655,31.362408526485375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,14.00659850179323,40.48018242708859
6,0,97.74122442791057,4.137981680996622,5.542616932364329,38.528268627691276,0.0,1.2100361168533067E-305,0.0,5.3269301116975205E-255,6.545776216149867E-281,0.0,1.0,0.0,499.0,18.70206526739041,27.018040921011004
6,1,98.52861725653761,5.815663065224097,4.0664360221355915,14.274644214757531,0.0,1.0,0.0,6.793094506078092E-267,5.715265471498212E-293,0.0,0.0,0.0,506.0,13.470728281550281,31.721478492375038
6,2,16.165014589747294,12.463163764907236,8.296284622687843,39.87998295931482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,15.037311053393257,17.59031622709337
6,3,59.88990413759265,24.45806420214998,4.7033216592357165,39.75277147340254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,557.0,19.206509986456016,34.06800738892561
6,4,14.845790158017891,19.876315330434352,5.6234084791227,54.942903833675416,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,588.0,20.194163364143353,36.95479126658697
6,5,89.3512315661218,25.329503042348794,4.376405161223902,32.23515645592794,3.7526069858153E-243,1.0,9.991099645215436E-132,6.528272604693337E-63,7.893172649407874E-75,5.927723972456964E-190,7.374900414406694E-202,1.7572161043363892E-242,315.0,18.989869008297152,40.79946553927156
6,6,63.56339580871315,8.969655261819398,6.112130333120646,90.16328165398491,0.0,4.229672767900999E-177,6.252477611997218E-244,1.1469784729152765E-138,3.462336907799634E-158,0.0,0.0,1.0,409.0,14.019041963049569,9.704203534998527
6,7,23.623833670938854,9.322843975196239,8.055178947851527,80.23375385519287,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,638.0,12.957057622776606,26.596749184437567
6,8,73.54669510720025,18.967081058822966,5.578891131082688,10.967523825654329,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,663.0,16.41816498141135,18.241442215035164
6,9,54.78485774717774,12.735139830707828,8.71708936028385,91.99375636869723,1.0,3.1089565004901055E-233,2.0199966195475E-310,5.782244787774906E-188,4.622053505382791E-211,0.0,0.0,0.0,454.0,20.93227518619659,11.147916851106014
7,0,21.65780235483069,3.028864098564018,4.2037021762171225,5.113006112327136,0.0,7.498830283925448E-165,3.430173042934318E-227,2.22839321554959E-129,2.364084563519044E-147,2.8769476799642686E-304,1.0,0.0,409.0,12.869596484749982,21.52587042502688
7,1,32.848915837772985,26.13977000277957,5.374255521609681,82.92995992485105,0.0,2.6373437984163555E-291,0.0,1.0,3.0181184583772134E-266,0.0,0.0,0.0,497.0,21.963895560714462,5.197067246055475
7,2,96.81565658455263,6.710176483969674,5.708145327215803,74.71073789478388,0.0,5.76303E-319,1.0,4.263205964786785E-266,3.591773477094855E-293,0.0,0.0,0.0,505.0,14.498312939869347,35.80161809143569
